,frame
164,LEVEL01PLAYER220210BULLET030501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB210302
165,LEVEL01PLAYER220210BULLET020501ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000005BOMB210302
166,LEVEL01PLAYER220210BULLET-1-101ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000004BOMB210302
167,LEVEL01PLAYER220210BULLET-1-101ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000004BOMB220302
168,LEVEL01PLAYER220208BULLET-1-101ENEMY_WEAK-1-100071102071502ENEMY_STRONG040703041104041504ENEMY_UFO000004BOMB-1-102
169,LEVEL01PLAYER220208BULLET210401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
170,LEVEL01PLAYER220208BULLET200401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
171,LEVEL01PLAYER220208BULLET190401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
172,LEVEL01PLAYER220308BULLET190401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
173,LEVEL01PLAYER220308BULLET180401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
174,LEVEL01PLAYER220408BULLET170401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
175,LEVEL01PLAYER220408BULLET160401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
176,LEVEL01PLAYER220308BULLET160401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
177,LEVEL01PLAYER220308BULLET150401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
178,LEVEL01PLAYER220308BULLET140401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO000004BOMB-1-102
179,LEVEL01PLAYER220308BULLET140401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO-1-104BOMB-1-102
180,LEVEL01PLAYER220308BULLET130401ENEMY_WEAK-1-100071002071402ENEMY_STRONG040603041004041404ENEMY_UFO001004BOMB-1-102
181,LEVEL01PLAYER220308BULLET130401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001004BOMB-1-102
182,LEVEL01PLAYER220308BULLET120401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001004BOMB-1-102
183,LEVEL01PLAYER220408BULLET120401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001004BOMB-1-102
184,LEVEL01PLAYER220408BULLET110401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001004BOMB-1-102
185,LEVEL01PLAYER220408BULLET100401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001004BOMB-1-102
186,LEVEL01PLAYER220508BULLET100401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001004BOMB-1-102
187,LEVEL01PLAYER220508BULLET100401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001104BOMB-1-102
188,LEVEL01PLAYER220508BULLET090401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001104BOMB-1-102
189,LEVEL01PLAYER220508BULLET080401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001104BOMB-1-102
190,LEVEL01PLAYER220608BULLET080401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001104BOMB-1-102
191,LEVEL01PLAYER220608BULLET070401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001104BOMB-1-102
192,LEVEL01PLAYER220608BULLET070401ENEMY_WEAK-1-100070902071302ENEMY_STRONG040503040904041304ENEMY_UFO001104BOMB031402
